date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648

2012-01-11 | 1000
2012-01-11 | 1001
2022-01-09|1
2022-01-11 | 
2022-01-11 |
 | 1
| 1
2022-01-11 | 1
0000-01-01 | 0.5
0-01-01 | 0.5
2022-42-01 | 0.5
2022-01-42 | 0.5
-2022-01-42 | 0.5
abc | 1
1000-01-01 | abc
2022-01-10- | 0.5
2022-1-1 | 5
2022-01- | 5
2022-01-0 | 5
2022-0-1 | 5
2022-01-1 | 5
2022--1 | 5
2022-1-1abc0 | 5
20ab-1-1| 5
2022-01-10 | 0000000000000000000000
2022-02-30 | 5
2022-02-29 | 5
2020-02-29 | 5
29-02-2020 | 5
